"","WorkingName","Lifestyle.stage.","Resolution","BodySize.g.","Kingdom","Phylum","Subphylum","Class","Subclass","Order","Suborder","Family","Genus","SpecificEpithet"
"410","nematode (gnathosome?)","infectious","Species",0.0001045,"Animalia","Nematoda","","","","","","","",""
"411","nematode larva","infectious","Species",0.000105,"Animalia","Nematoda","","","","","","","",""
"412","cystacanth-fish musc","infectious","Species",NA,"Animalia","Acanthocephala","","","","","","","",""
"413","cystacanth-fish musc","infectious","Species",0.0041,"Animalia","Acanthocephala","","","","","","","",""
"414","copepod-Pseudomyicola?","infectious","Species",0.000144,"Animalia","Arthropoda","Crustacea","Copepoda","","","","","",""
"415","fish copepod","infectious","assemblage",5.67e-05,"Animalia","Arthropoda","Crustacea","Copepoda","","","","","",""
"416","Orthione griffinis","infectious","Species",0.246,"Animalia","Arthropoda","Crustacea","","","Isopoda","","Bopyridae","Orthione","griffinis"
"417","Orthione griffinis","infectious","Species",NA,"Animalia","Arthropoda","Crustacea","","","Isopoda","","Bopyridae","Orthione","griffinis"
"418","Portunion conformis","infectious","Species",0.0289,"Animalia","Arthropoda","Crustacea","","","Isopoda","","Entoniscidae","Portunion","conformis"
"419","annelid","free-living","Species",0.00651882,"Animalia","Annelida","","Polychaeta","","","","","",""
"420","annelid red","free-living","Species",0.00296524,"Animalia","Annelida","","Polychaeta","","","","","",""
"421","capitellid?","free-living","Species",0.00570975,"Animalia","Annelida","","Polychaeta","","","","","",""
"422","cirratulid","free-living","Species",0.00421948,"Animalia","Annelida","","Polychaeta","","","","Cirratulidae","",""
"423","cirratulid?","free-living","Species",0.00363676,"Animalia","Annelida","","Polychaeta","","","","","",""
"424","Cirriformia spirabrancha","free-living","Species",0.0035788,"Animalia","Annelida","","Polychaeta","","","","Cirratulidae","Cirriformia","spirabrancha"
"425","ctenodrilid","free-living","Species",0.00658063,"Animalia","Annelida","","Polychaeta","","","","Ctenodrilidae","",""
"426","errant annelid","free-living","Species",0.00555352,"Animalia","Annelida","","Polychaeta","","","","","",""
"427","errant large annelid","free-living","Species",0.00990495,"Animalia","Annelida","","Polychaeta","","","","","",""
"428","Neanthes","free-living","Species",0.00779106,"Animalia","Annelida","","Polychaeta","","","","Nereidae","Neanthes",""
"429","spionid","free-living","Species",0.00635377,"Animalia","Annelida","","Polychaeta","","","","Spionidae","",""
"430","spionid?","free-living","Species",0.00936255,"Animalia","Annelida","","Polychaeta","","","","Spionidae","",""
"431","annelid","free-living","Species",3.37e-05,"Animalia","Annelida","","Polychaeta","","","","","",""
"432","annelid red","free-living","Species",3.37e-05,"Animalia","Annelida","","Polychaeta","","","","","",""
"433","cirratulid","free-living","Species",3.37e-05,"Animalia","Annelida","","Polychaeta","","","","Cirratulidae","",""
"434","cirratulid?","free-living","Species",3.37e-05,"Animalia","Annelida","","Polychaeta","","","","","",""
"435","ctenodrilid","free-living","Species",3.37e-05,"Animalia","Annelida","","Polychaeta","","","","Ctenodrilidae","",""
"436","errant annelid","free-living","Species",3.37e-05,"Animalia","Annelida","","Polychaeta","","","","","",""
"437","errant large annelid","free-living","Species",3.37e-05,"Animalia","Annelida","","Polychaeta","","","","","",""
"438","Neanthes","free-living","Species",3.37e-05,"Animalia","Annelida","","Polychaeta","","","","Nereidae","Neanthes",""
"439","spionid?","free-living","Species",3.37e-05,"Animalia","Annelida","","Polychaeta","","","","Spionidae","",""
"440","anthozoan","free-living","Species",0.00107102,"Animalia","Cnidaria","","Anthozoa","","","","","",""
"441","brown cucumber","free-living","Species",0.01494624,"Animalia","Echinodermata","","Holothuroidea","","","","","",""
"442","cucumber","free-living","Species",0.01306699,"Animalia","Echinodermata","","Holothuroidea","","","","","",""
"443","nemertean","free-living","Species",0.00355665,"Animalia","Nemertea","","","","","","","",""
"444","phoronid","free-living","Species",0.00244201,"Animalia","Phoronida","","","","","","","",""
"445","turbellarian","free-living","Species",0.00296524,"Animalia","Platyhelminthes","","Turbellaria","","","","","",""
"446","white cucumber","free-living","Species",0.01417997,"Animalia","Echinodermata","","Holothuroidea","","","","","",""
"447","white nemertean","free-living","Species",0.00656563,"Animalia","Nemertea","","","","","","","",""
"448","Chione californiensis","free-living","Species",3.5111445,"Animalia","Mollusca","","Bivalvia","","","","Veneridae","Chione","californiensis"
"449","Chione fluctifraga","free-living","Species",6.25426222,"Animalia","Mollusca","","Bivalvia","","","","Veneridae","Chione","fluctifraga"
"450","California Softshell Clam","free-living","Species",0.18284959,"Animalia","Mollusca","","Bivalvia","","","","Myidae","Cryptomya","californica"
"451","Ribbed Mussel","free-living","Species",8.98188667,"Animalia","Mollusca","","Bivalvia","","","","Mytilidae","Geukensia","demissa"
"452","Pacific Eggcockle","free-living","Species",0.14450565,"Animalia","Mollusca","","Bivalvia","","","","Cardiidae","Laevicardium","substriatum"
"453","Bent-nosed Clam","free-living","Species",1.83610916,"Animalia","Mollusca","","Bivalvia","","","","Tellinidae","Macoma","nasuta"
"454","Pacific Littleneck Clam","free-living","Species",2.84970943,"Animalia","Mollusca","","Bivalvia","","","","Veneridae","Protothaca","staminea"
"455","Protothaca?","free-living","Species",2.84970943,"Animalia","Mollusca","","Bivalvia","","","","","",""
"456","Fat Jackknife Clam","free-living","Species",4.87004429,"Animalia","Mollusca","","Bivalvia","","","","Psammobiidae","Tagelus","affinis"
"457","Lesser Tagelus","free-living","Species",2.04512797,"Animalia","Mollusca","","Bivalvia","","","","Psammobiidae","Tagelus","subteres"
"458","unk bivalve","free-living","Species",0.88111393,"Animalia","Mollusca","","Bivalvia","","","","","",""
"459","Chione californiensis","free-living","Species",3.63e-05,"Animalia","Mollusca","","Bivalvia","","","","Veneridae","Chione","californiensis"
"460","Chione fluctifraga","free-living","Species",3.63e-05,"Animalia","Mollusca","","Bivalvia","","","","Veneridae","Chione","fluctifraga"
"461","Ribbed Mussel","free-living","Species",3.63e-05,"Animalia","Mollusca","","Bivalvia","","","","Mytilidae","Geukensia","demissa"
"462","Pacific Eggcockle","free-living","Species",3.63e-05,"Animalia","Mollusca","","Bivalvia","","","","Cardiidae","Laevicardium","substriatum"
"463","Protothaca?","free-living","Species",3.63e-05,"Animalia","Mollusca","","Bivalvia","","","","Veneridae","",""
"464","unk bivalve","free-living","Species",3.63e-05,"Animalia","Mollusca","","Bivalvia","","","","","",""
"465","Acteocina inculta","free-living","Species",0.00650196,"Animalia","Mollusca","","Gastropoda","","","","Scaphandridae","Acteocina","inculta"
"466","California Assiminea","free-living","Species",0.00218564,"Animalia","Mollusca","","Gastropoda","","","","Assimineidae","Assiminea","californica"
"467","Cloudy Bubble Snail","free-living","Species",0.16392734,"Animalia","Mollusca","","Gastropoda","","","","Bullidae","Bulla","gouldiana"
"468","California Horn Snail","free-living","Species",0.72237749,"Animalia","Mollusca","","Gastropoda","","","","Potamididae","Cerithidea","californica"
"469","Paper Bubble Snail","free-living","Species",0.05616945,"Animalia","Mollusca","","Gastropoda","","","","Haminoeidae","Haminoea","vesicula"
"470","Littorina?","free-living","Species",0.08341169,"Animalia","Mollusca","","Gastropoda","","","","","",""
"471","Salt Marsh Snail","free-living","Species",0.22456482,"Animalia","Mollusca","","Gastropoda","","","","Ellobiidae","Melampus","olivaceus"
"472","Nassarius tegula","free-living","Species",0.45077395,"Animalia","Mollusca","","Gastropoda","","","","Nassariidae","Nassarius","tegula"
"473","opisthobranch","free-living","Species",0.00073107,"Animalia","Mollusca","","Gastropoda","Opistobranchia","","","","",""
"474","pyramidellid","free-living","Species",0.00274767,"Animalia","Mollusca","","Gastropoda","","","","Pyramidellidae","",""
"475","Ephydra","free-living","Species",0.03373598,"Animalia","Arthropoda","Hexapoda","","","Diptera","","Ephydridae","",""
"476","gammaridean","free-living","Infraorder",0.00563829,"Animalia","Arthropoda","Crustacea","Malacostraca","","Amphipoda","Gammaridea","","",""
"477","Calfornia Ghost Shrimp","free-living","Species",1.58558158,"Animalia","Arthropoda","Crustacea","Malacostraca","","Decapoda","","Callianassidae","Neotrypaea","californiensis"
"478","Southern Mud Shrimp","free-living","Species",3.07112676,"Animalia","Arthropoda","Crustacea","Malacostraca","","Decapoda","","Upogebiidae","Upogebia","macginitieorum"
"479","Green Shore Crab","free-living","Species",0.44680817,"Animalia","Arthropoda","Crustacea","Malacostraca","","Decapoda","","Grapsidae","Hemigrapsus","oregonensis"
"480","Striped Shore Crab","free-living","Species",4.53440702,"Animalia","Arthropoda","Crustacea","Malacostraca","","Decapoda","","Grapsidae","Pachygrapsus","crassipes"
"481","Fiddler Crab","free-living","Species",0.7787202,"Animalia","Arthropoda","Crustacea","Malacostraca","","Decapoda","","Oxypodidae","Uca","crenulata"
"482","Californian Anchovy","free-living","Species",0.98261246,"Animalia","Chordata","Vertebrata","Osteichthyes","","Clupeiformes","","Engraulidae","Engraulis","mordax"
"483","Topsmelt","free-living","Species",0.39968098,"Animalia","Chordata","Vertebrata","Osteichthyes","","Atheriniformes","","Atherinopsidae","Atherinops","affinis"
"484","Arrow Goby","free-living","Species",0.31474977,"Animalia","Chordata","Vertebrata","Osteichthyes","","Perciformes","","Gobiidae","Clevelandia","ios"
"485","California Killifish","free-living","Species",1.33713308,"Animalia","Chordata","Vertebrata","Osteichthyes","","Cyprinodontiformes","","Fundulidae","Fundulus","parvipinnis"
"486","Long-jawed Mudsucker","free-living","Species",7.80927155,"Animalia","Chordata","Vertebrata","Osteichthyes","","Perciformes","","Gobiidae","Gillichthys","mirabilis"
"487","Opaleye","free-living","Species",0.65917564,"Animalia","Chordata","Vertebrata","Osteichthyes","","Perciformes","","Kyphosidae","Girella","nigricans"
"488","Bay Blenny","free-living","Species",0.28675078,"Animalia","Chordata","Vertebrata","Osteichthyes","","Perciformes","","Blenniidae","Hypsoblennius","gentilis"
"489","Diamond Turbot","free-living","Species",129.558012,"Animalia","Chordata","Vertebrata","Osteichthyes","","Pleuronectiformes","","Plueronectidae","Hypsopsetta","guttulata"
"490","Cheekspot Goby","free-living","Species",0.27779251,"Animalia","Chordata","Vertebrata","Osteichthyes","","Perciformes","","Gobiidae","Ilypnus","gilberti"
"491","Grey Smoothhound","free-living","Species",1256.2238,"Animalia","Chordata","Vertebrata","Chondrichthyes","","Carcharhiniformes","","Triakidae","Mustelus","californicus"
"492","Sicklefin Smoothhound","free-living","Species",1256.2238,"Animalia","Chordata","Vertebrata","Chondrichthyes","","Carcharhiniformes","","Triakidae","Mustelus","lunulatus"
"493","California Halibut","free-living","Species",3.64311261,"Animalia","Chordata","Vertebrata","Osteichthyes","","Pleuronectiformes","","Paralichthyidae","Paralichthys","californicus"
"494","Spotted Sandbass","free-living","Species",1.8670342,"Animalia","Chordata","Vertebrata","Osteichthyes","","Perciformes","","Serranidae","Paralabrax","maculofasciatus"
"495","Specklefin Midshipman","free-living","Species",0.34220665,"Animalia","Chordata","Vertebrata","Osteichthyes","","Batrachoidiformes","","Batrachoididae","Porichthys","myriaster"
"496","Shadow Goby","free-living","Species",0.42900956,"Animalia","Chordata","Vertebrata","Osteichthyes","","Perciformes","","Gobiidae","Quietula","y-cauda"
"497","American Bittern","free-living","Species",700,"Animalia","Chordata","Vertebrata","Aves","","Ciconiiformes","","Ardeidae","Botaurus","lentiginosus"
"498","Black Skimmer","free-living","Species",326.5,"Animalia","Chordata","Vertebrata","Aves","","Charadriiformes","","Laridae","Rhynchops","niger"
"499","Black Turnstone","free-living","Species",121.25,"Animalia","Chordata","Vertebrata","Aves","","Charadriiformes","","Scolopacidae","Arenaria","melanocephala"
"500","Least Tern","free-living","Species",48.1,"Animalia","Chordata","Vertebrata","Aves","","Charadriiformes","","Laridae","Sterna","antillarum"
"501","Northern Harrier","free-living","Species",424.5,"Animalia","Chordata","Vertebrata","Aves","","Falconiformes","","Accipitridae","Circus","cyanus"
"502","Ruddy Turnstone","free-living","Species",107,"Animalia","Chordata","Vertebrata","Aves","","Charadriiformes","","Scolopacidae","Arenaria","intepres"
"503","Snowy Plover","free-living","Species",41.2,"Animalia","Chordata","Vertebrata","Aves","","Charadriiformes","","Chardridae","Charadrius","alexandrinius"
"504","Sora","free-living","Species",79.5,"Animalia","Chordata","Vertebrata","Aves","","Gruiformes","","Rallidae","Porzana","carolina"
"505","apicomplexan.Tagelus","infectious","Species",NA,"Protozoa","Apicomplexa","","","","","","","",""
"506","microsporan?mc oval","infectious","Species",NA,"Protozoa","Microsporidia","","","","","","","",""
"507","microsporan?mc RL","infectious","Species",NA,"Protozoa","Microsporidia","","","","","","","",""
"508","microsporan?prob","infectious","Species",NA,"Protozoa","Microsporidia","","","","","","","",""
"509","microsporidean Hemi","infectious","Species",NA,"Protozoa","Microsporidia","","","","","","","",""
"510","microsporidean Uca","infectious","Species",NA,"Protozoa","Microsporidia","","","","","","","",""
"511","graffillid","infectious","Species",4.32e-05,"Animalia","Platyhelminthes","","Turbellaria","","","","Graffillidae","",""
"512","Microcotyle sp.","infectious","Species",7.53e-05,"Animalia","Platyhelminthes","","Monogenea","","","","Microcotylidae","Microcotyle","sp."
"513","Gynaecotyla sp.","infectious","Species",6.13e-06,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Microphallidae","Gynaecotyla","sp."
"514","lepocreadid","infectious","Species",1.67e-05,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Lepocreadiidae","",""
"515","mc oval (u+i)","infectious","Species",NA,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Microphallidae","",""
"516","mc oval jelly","infectious","Species",NA,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","","",""
"517","mc unk neo","infectious","Species",NA,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","","",""
"518","mc unk-tagelus epb","infectious","Species",NA,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","","",""
"519","Acanthoparyphium","infectious","Species",NA,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Echinostomatidae","Acanthoparyphium",""
"520","Probolocoryphe species B","infectious","Species",2e-05,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Microphallidae","Probolocoryphe","species B"
"521","Tubulovesicula","infectious","Species",0.00097193,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Hemiuridae","Tubulovesicula",""
"522","Acanthoparyphium spinulosum","infectious","Species",0.02545386,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Echinostomatidae","Acanthoparyphium","spinulosum"
"523","Austrobilharzia sp.","infectious","Species",0.02893559,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Schistosomatidae","Austrobilharzia","sp."
"524","Austrobilharzia sp.","infectious","Species",0.09962794,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Schistosomatidae","Austrobilharzia","sp."
"525","Catatropis johnstoni","infectious","Species",0.02296597,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Notocotylidae","Catatropis","johnstoni"
"526","Cloacitrema michiganiensis","infectious","Species",0.03544256,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Philophthalmidae","Cloacitrema","michiganiensis"
"527","Euhaplorchis californiensis","infectious","Species",0.02537377,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Heterophyidae","Euhaplorchis","californiensis"
"528","fellodistomid","infectious","Species",0.52372467,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Fellodistomidae","",""
"529","Himasthla rhigedana","infectious","Species",0.03324752,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Echinostomatidae","Himasthla","rhigedana"
"530","Himasthla B","infectious","Species",0.02973583,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Echinostomatidae","Himasthla","B"
"531","Hysterolecitha trilocalis","infectious","Species",0.00042913,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Hemiuridae","Hysterolecitha","trilocalis"
"532","Renicola sp.","infectious","Species",0.02496331,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Renicolidae","Renicola","sp."
"533","mc unk-tagelus epb","infectious","Species",0.09962794,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","","",""
"534","Mesostephanus appendiculatus","infectious","Species",0.02620978,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Cyathocotylidae","Mesostephanus","appendiculatus"
"535","Parorchis acanthus","infectious","Species",0.04173048,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Philophthalmidae","Parorchis","acanthus"
"536","Phocitremoides ovale","infectious","Species",0.01973766,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Heterophyidae","Phocitremoides","ovale"
"537","Probolocoryphe species A","infectious","Species",0.05505685,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Microphallidae","Probolocoryphe","species A"
"538","Pygidiopsoides spindalis","infectious","Species",0.02084895,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Heterophyidae","Pygidiopsoides","spindalis"
"539","Renicola buchanani","infectious","Species",0.02107399,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Renicolidae","Renicola","buchanani"
"540","Renicola cerithidicola","infectious","Species",0.02052283,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Renicolidae","Renicola","cerithidicola"
"541","small cyathocotylid","infectious","Species",0.02379388,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Cyathocotylidae","",""
"542","Stictodora hancocki","infectious","Species",0.02445125,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Heterophyidae","Stictodora","hancocki"
"543","Lepocreadium","infectious","Species",0.09962794,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Lepocreadiidae","Lepocreadium",""
"544","fellodistomid","free-living","Species",9.73e-07,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Fellodistomidae","",""
"545","Gynaecotyla sp.","free-living","Species",NA,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Microphallidae","Gynaecotyla","sp."
"546","mc oval (u+i)","free-living","Species",NA,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Microphallidae","",""
"547","mc oval jelly","free-living","Species",NA,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","","",""
"548","mc unk neo","free-living","Species",NA,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","","",""
"549","mc unk-tagelus epb","free-living","Species",NA,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","","",""
"550","Acanthoparyphium","free-living","Species",NA,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Echinostomatidae","Acanthoparyphium",""
"551","Probolocoryphe species B","free-living","Species",NA,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Microphallidae","Probolocoryphe","species B"
"552","Lepocreadium","free-living","Species",3.33e-07,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Lepocreadiidae","Lepocreadium",""
"553","Tubulovesicula","free-living","Species",NA,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Hemiuridae","Tubulovesicula",""
"554","Tubulovesicula","infectious","Species",NA,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Hemiuridae","Tubulovesicula",""
"555","Gynaecotyla sp.","infectious","Species",0.0001431,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Microphallidae","Gynaecotyla","sp."
"556","Gynaecotyla sp.","infectious","Species",0.00014306,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Microphallidae","Gynaecotyla","sp."
"557","mc oval (u+i)","infectious","Species",7.49e-05,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Microphallidae","",""
"558","mc oval jelly","infectious","Species",7.49e-05,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","","",""
"559","mc unk neo","infectious","Species",4.312e-05,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","","",""
"560","mc unk-tagelus epb","infectious","Species",0.000899,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","","",""
"561","Acanthoparyphium","infectious","Species",0.0005167,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Echinostomatidae","Acanthoparyphium",""
"562","Probolocoryphe species B","infectious","Species",0.00010115,"Animalia","Platyhelminthes","","Trematoda","Digenea","","","Microphallidae","Probolocoryphe","species B"
"563","Glossocercus sp.","infectious","Species",0.03564,"Animalia","Platyhelminthes","","Cestoda","","Cyclophyllidea","","Dilepididae","Glossocercus","sp."
"564","plerocercoid","infectious","Species",NA,"Animalia","Platyhelminthes","","Cestoda","","","","","",""
"565","tetraphyllidean","infectious","Species",NA,"Animalia","Platyhelminthes","","Cestoda","","Tetraphyllidea","","","",""
"566","Glossocercus sp.","infectious","Species",0.00022157,"Animalia","Platyhelminthes","","Cestoda","","Cyclophyllidea","","Dilepididae","Glossocercus","sp."
"567","plerocercoid","infectious","Species",0.0002987,"Animalia","Platyhelminthes","","Cestoda","","","","","",""
"568","tetraphyllidean","infectious","Species",8.52e-05,"Animalia","Platyhelminthes","","Cestoda","","Tetraphyllidea","","","",""
"569","trypanorhynch-fish","infectious","Species",0.0004262,"Animalia","Platyhelminthes","","Cestoda","","Trypanorhyncha","","","",""
"570","trypanorhynch-thalassinidean","infectious","Species",0.0004262,"Animalia","Platyhelminthes","","Cestoda","","Trypanorhyncha","","","",""
"571","Ascarophis-like Pachy","infectious","Species",0.00026609,"Animalia","Nematoda","","","","","","","",""
"572","Ascarophis-like Uca","infectious","Species",0.00026609,"Animalia","Nematoda","","","","","","","",""
"573","nematode","infectious","Species",6.91e-11,"Animalia","Nematoda","","","","","","","",""
"574","acanth","infectious","Species",0.00331752,"Animalia","Acanthocephala","","","","","","","",""
"575","cystacanth-uca","infectious","Species",NA,"Animalia","Acanthocephala","","","","","","","",""
"576","cystacanth-uca","infectious","Species",0.0013,"Animalia","Acanthocephala","","","","","","","",""
"577","copepod-Pseudomyicola?","infectious","Species",0.00014392,"Animalia","Arthropoda","Crustacea","Copepoda","","","","","",""
"578","Leidya sp.","infectious","Species",0.10286473,"Animalia","Arthropoda","Crustacea","","","Isopoda","","Bopyridae","Leidya","sp."
"579","Phyllobduris abdominalis","infectious","Species",0.0921338,"Animalia","Arthropoda","Crustacea","","","Isopoda","","Bopyridae","Phyllobduris","abdominalis"
"580","Phyllobduris abdominalis","infectious","Species",NA,"Animalia","Arthropoda","Crustacea","","","Isopoda","","Bopyridae","Phyllobduris","abdominalis"
"581","Portunion conformis","infectious","Species",0.01426667,"Animalia","Arthropoda","Crustacea","","","Isopoda","","Entoniscidae","Portunion","conformis"
"582","Carrion",NA,"Assemblage",NA,"","",NA,"",NA,"",NA,"","",NA
"583","Detritus",NA,"Assemblage",NA,"","",NA,"",NA,"",NA,"","",NA
"584","Acanthella-larva",NA,"Species",NA,"Animalia","Acanthocephala",NA,"",NA,"",NA,"","",NA
"585","Mites",NA,"Family",NA,"Animalia","Chelicerata",NA,"Acari",NA,"",NA,"Halacaridae","",NA
"586","Aoridae amphipod",NA,"Family",NA,"Animalia","Crustacea",NA,"Malacostraca",NA,"Amphipoda",NA,"Aoridae","",NA
"587","Corophium insidiosum",NA,"Species",NA,"Animalia","Crustacea",NA,"Malacostraca",NA,"Amphipoda",NA,"","Corophium",NA
"588","Corophium volutator",NA,"Species",NA,"Animalia","Crustacea",NA,"Malacostraca",NA,"Amphipoda",NA,"","Corophium ",NA
"589","Gammarus locusta",NA,"Species",NA,"Animalia","Crustacea",NA,"Malacostraca",NA,"Amphipoda",NA,"","Gammarus",NA
"590","Gammarus oceanicus",NA,"Species",NA,"Animalia","Crustacea",NA,"Malacostraca",NA,"Amphipoda",NA,"","Gammarus",NA
"591","Gammarus salinus ",NA,"Species",NA,"Animalia","Crustacea",NA,"Malacostraca",NA,"Amphipoda",NA,"","Gammarus",NA
"592","Gammarus zaddachi",NA,"Species",NA,"Animalia","Crustacea",NA,"Malacostraca",NA,"Amphipoda",NA,"","Gammarus",NA
"593","Isaeid amphipod",NA,"Family",NA,"Animalia","Crustacea",NA,"Malacostraca",NA,"Amphipoda",NA,"Isaeidae","",NA
"594","Rag worm",NA,"Species",NA,"Animalia","Annelida",NA,"Polychaeta",NA,"",NA,"","Hediste",NA
"595","Spionid polychaete",NA,"Family",NA,"Animalia","Annelida",NA,"Polychaeta",NA,"",NA,"Spionidae","",NA
"596","Tubificid oligochaete",NA,"Species",NA,"Animalia","Annelida",NA,"Oligochaeta",NA,"",NA,"","Tubificoides",NA
"597","Common starfish",NA,"Species",NA,"Animalia","Echinodermata",NA,"Asteroidea",NA,"",NA,"","Asterias",NA
"598","Bacteria",NA,"Assemblage",NA,"Prokaryota","",NA,"",NA,"",NA,"","",NA
"599","Bay barnacle",NA,"Species",NA,"Animalia","Crustacea",NA,"Cirripedia",NA,"",NA,"","Balanus",NA
"600","Cormorants",NA,"Family",NA,"Animalia","Chordata",NA,"Aves",NA,"",NA,"Phalacrocoracidae","",NA
"601","Eiders/Bay ducks",NA,"Family",NA,"Animalia","Chordata",NA,"Aves",NA,"",NA,"Anatidae (Somateriinae, Athyinae)","",NA
"602","Grebes/Loons",NA,"Family",NA,"Animalia","Chordata",NA,"Aves",NA,"",NA,"Podicepidae/Gaviidae","",NA
"603","Gulls",NA,"Family",NA,"Animalia","Chordata",NA,"Aves",NA,"",NA,"Laridae ","",NA
"604","Plovers",NA,"Family",NA,"Animalia","Chordata",NA,"Aves",NA,"",NA,"Charadriidae","",NA
"605","Rails",NA,"Family",NA,"Animalia","Chordata",NA,"Aves",NA,"",NA,"Rallidae","",NA
"606","Shelducks/Ducks",NA,"Family",NA,"Animalia","Chordata",NA,"Aves",NA,"",NA,"Anatidae (Tadorninae, Anatinae)","",NA
"607","Terns",NA,"Family",NA,"Animalia","Chordata",NA,"Aves",NA,"",NA,"Sternidae","",NA
"608","Baltic macoma",NA,"Species",NA,"Animalia","Mollusca",NA,"Bivalvia",NA,"",NA,"","Macoma ",NA
"609","Blue mussel",NA,"Species",NA,"Animalia","Mollusca",NA,"Bivalvia",NA,"",NA,"","Mytilus",NA
"610","Common cockle",NA,"Species",NA,"Animalia","Mollusca",NA,"Bivalvia",NA,"",NA,"","Cerastoderma",NA
"611","Soft-shelled clam",NA,"Species",NA,"Animalia","Mollusca",NA,"Bivalvia",NA,"",NA,"","Mya",NA
"612","Cladocera",NA,"Order",NA,"Animalia","Crustacea",NA,"Branchiopoda",NA,"Cladocera",NA,"","",NA
"613","Caryophyllidea sp.",NA,"Species",NA,"Animalia","Platyhelminthes",NA,"Cestoda",NA,"",NA,"Caryophyllidea","",NA
"614","Proteocephalus gobiorum /sp.",NA,"Species",NA,"Animalia","Platyhelminthes",NA,"Cestoda",NA,"",NA,"","Protecocephalus",NA
"615","Acartia bifilosa",NA,"Species",NA,"Animalia","Crustacea",NA,"Copepoda",NA,"Calanoida",NA,"","Acartia",NA
"616","Acartia discaudata",NA,"Species",NA,"Animalia","Crustacea",NA,"Copepoda",NA,"Calanoida",NA,"","Acartia",NA
"617","Acartia tonsa",NA,"Species",NA,"Animalia","Crustacea",NA,"Copepoda",NA,"Calanoida",NA,"","Acartia",NA
"618","Centropages hamatus",NA,"Species",NA,"Animalia","Crustacea",NA,"Copepoda",NA,"Calanoida",NA,"","Centropages",NA
"619","Harpacticoid copepods",NA,"Order",NA,"Animalia","Crustacea",NA,"Copepoda",NA,"Harpacticoida",NA,"","",NA
"620","Oithona atlantica",NA,"Species",NA,"Animalia","Crustacea",NA,"Copepoda",NA,"Cyclopoida",NA,"","Oithona",NA
"621","Oithona similis",NA,"Species",NA,"Animalia","Crustacea",NA,"Copepoda",NA,"Cyclopoida",NA,"","Oithona",NA
"622","Pseudocalanus elongatus",NA,"Species",NA,"Animalia","Crustacea",NA,"Copepoda",NA,"Calanoida",NA,"","Pseudocalanus",NA
"623","Temora longicornis",NA,"Species",NA,"Animalia","Crustacea",NA,"Copepoda",NA,"Calanoida",NA,"","Temora",NA
"624","Thersitina gasterostei",NA,"Species",NA,"Animalia","Crustacea",NA,"Copepoda",NA,"",NA,"Ergalisidae","Thersitina",NA
